bote,"woven basket carried on the back by a strap,often around the forehead","agriculture - equipment,household"
ruin siin,body. arthritis,health - signs and symptoms
ruin toos,body. stiff (from age),health - signs and symptoms
sasuku,sharp pains,health - signs and symptoms
tee been,diarrhoea,health - signs and symptoms
tee toos,"body. constipated,constipation",health - signs and symptoms
tensaun,blood pressure,health - signs and symptoms
tensaun alta,"high blood pressure,hypertension",health - signs and symptoms
tensaun sae,"body. high blood pressure,hypertension; blood pressure rises",health - signs and symptoms
tensaun tuun,"body. low blood pressure,hypotension; blood pressure falls",health - signs and symptoms
tilun diuk,body. deaf,health - signs and symptoms
tilun kuak moras,body. have an earache,health - signs and symptoms
todan,"heavy (weight); hard (work),difficult; serious,grave,critical (illness...); severe (punishment...)",health - signs and symptoms
tohar,"broken,fractured",health - signs and symptoms
trauma,traumatised,health - signs and symptoms
ulun fatuk moras,body. have a headache,health - signs and symptoms
ulun moras,body. have a headache,health - signs and symptoms
hadak,platform (for seating or sleeping) or floor made of traditional materials,"household,building parts"
relójiu,"watch,wristwatch,clock","household,clothes"
basia,"basin,large bowl","household,cooking equipment,health - equipment"
redi,"net,netting; network (of people,phone network)","household,fishing - other"
pomada,"ointment,salve","household,medicines"
tezoura,"scissors,shears","household,office equipment,agriculture - equipment,tools - types,health - equipment"
almari,"cupboard,wardrobe,bookcase,cabinet","household,office equipment"
almari livru,bookcase,"household,office equipment"
armáriu,"cupboard,wardrobe,bookcase,cabinet","household,office equipment"
fita,"ribbon,tape","household,office equipment"
gaveta,drawer,"household,office equipment"
kadeira,"chair; seat (in parliament),position of responsibility","household,office equipment"
kadernu,notebook; exercise book,"household,office equipment"
meza,table; desk,"household,office equipment"
telefone,"telephone,phone","household,office equipment"
espelyu,mirror,"household,vehicles - parts"
lalenok,mirror,"household,vehicles - parts"
baldi,"bucket,pail","household,water and sanitation"
jérigen,jerrycan,"household,water and sanitation"
kanaba,bucket or basket for drawing water from a well,"household,water and sanitation"
kanu,(water) pipe,"household,water and sanitation"
mangeira,hose,"household,water and sanitation"
torneira,"tap (BRIT),faucet (US)","household,water and sanitation"
ai habit,(clothes) peg,household
ai saar,broom,household
ai saar kesak,"broom made of palm leaf midribs,used for sweeping outside",household
almari ropa,wardrobe,household
ampolas,light bulb,household
banku1,"bench,stool",household
Bayclin,bleach,household
Baygon,mosquito spray; mosquito coil,household
beladór,coffee table,household
biti,mat,household
botir,bottle (especially one not made of plastic),household
eskova,brush,household
eskova kose nehan,toothbrush,household
eskova nehan,toothbrush,household
esponza,"foam rubber,sponge",household
estrika,iron (for ironing clothes),household
fronyas,pillowcase,household
galon,large bottle of bottled water that fits in a dispenser,household
gayung,water dipper (used in bathing),household
generator,generator,household
guardafatu,wardrobe,household
hena bikan,"tea towel,dishcloth",household
hena meza,tablecloth,household
iskeiru,cigarette lighter,household
kabas rahun,cotton wool,household
kaer fatin,handle,household
kama,bed,household
kandieiru,small wick lamp,household
karteira,"wallet,purse,handbag",household
kaut,lidless woven storage container,household
kolxa,bottom (bed) sheet,household
kortina,curtain,household
kortuinya,nail clipper,household
kulxaun,mattress,household
lámpada,"torch,flashlight",household
lampu ampolas,light bulb,household
lampu kabuar,light bulb,household
lampu neon,"fluoro (light),fluorescent light",household
lensól,(bed) sheet,household
lilin,candle,household
luhu,storage basket,household
mákina fasi ropa,washing machine,household
mala,suitcase,household
manta,blanket,household
neon2,"fluoro (light),fluorescent light",household
oliadu,"lineoleum,lino; plastic tablecloth,oilcloth",household
Omo,washing powder (for clothes),household
pasta denti,toothpaste,household
pasta tau kotuk,backpack,household
paulitu,toothpick,household
petromás,kerosene lamp,household
pilya,battery (not rechargeable),household
pioneze,"thumbtack,drawing pin",household
piveti,mosquito coil,household
pó,"powder,baby powder",household
raga,"basket,rack",household
Rinso,washing powder (for clothes),household
rolu,"roll,coil; (paint) roller,hair curler",household
sabaun,soap,household
saboneti,soap (for bathing),household
sasaan eletróniku,electronics,household
sasuit2,comb; hairbrush,household
sinzeiru,ashtray,household
sofá,"sofa,armchair",household
sumasu,"pillow,cushion",household
sumasu naruk,Dutch wife (long round pillow),household
tapeti,"carpet,rug",household
televizaun,"television,TV,TV set",household
tixu,"tissue,serviette,toilet paper",household
toalya,towel; handtowel,household
toalya meza,tablecloth,household
vazu,"flowerpot,pot (for plants); vase",household
ventuinya,(electric) fan,household
vídeo,video,household
xampó,shampoo,household
xupeta,(baby's) dummy (BRIT); pacifier (US),household
oan kaduak,twins,"kin,health - other"
ferik,"n ; title. old woman,married woman. Can be used to refer to an older woman,including one's mother or wife","kin,stages of life"
katuas,"n title. older man; married man. Can be used to refer to an older man,including one's father or husband","kin,stages of life"
alin,n title. younger brother or sister; younger child of anyone whom one calls 'mother/father'; title for a younger person,kin
alin feto,younger sister; younger daughter of anyone classified as one's inan or aman,kin
alin ikun,youngest brother or sister,kin
alin mane,younger brother; younger son of anyone classified as one's inan or aman,kin
alin rasik,younger brother or sister (as opposed to cousins or others who are also called alin),kin
amaa,"mum,mummy",kin
aman1,"father; paternal uncle,father's brothers,man one generation up who is related completely through the male line",kin
aman boot,"older paternal uncle,father's older brother",kin
aman hakiak,adoptive father; foster father; host father,kin
aman kiik,"younger paternal uncle,father's younger brother",kin
aman rasik,"birth father (as opposed to paternal uncles,or adoptive father)",kin
apaa,"dad,daddy; in some areas used as a respectful term of address to men",kin
avoo,grandparent; title for a person who is much older than oneself,kin
avoo feto,grandmother,kin
avoo main,grandma,kin
avoo mane,grandfather,kin
avoo pai,grandpa,kin
banin,parent-in-law,kin
banin feto,mother-in-law,kin
banin mane,father-in-law,kin
bei-ala,ancestor (great-grandparent and any generation before that),kin
bei-oan,"grandchild,grandson,granddaughter",kin
biin,"older sister,older female cousin,older child of anyone whom one calls 'mother/father'",kin
biin rasik,older sister (as opposed to cousins or others who are also called biin),kin
ema leet,non-relative,kin
família,"family,relatives,relations",kin
família boot,extended family,kin
feen,"wife,partner",kin
feen kiik,"mistress,concubine,second wife",kin
feen-laen,"husband and wife,married couple",kin
ferik-oan,"wife,partner",kin
feto foun,daughter-in-law,kin
feton,sister (of a male),kin
fetosaa,"wife-taking clan,husband's family",kin
inan1,mother; mother's sister; woman one generation up who is related completely through the female line,kin
inan boot,"older maternal aunt,mother's older sister",kin
inan hakiak,"adoptive mother,foster mother,host mother",kin
inan kiik,younger maternal aunt; mother's younger sister; father's second wife,kin
inan rasik,"birth mother (as opposed to maternal aunts,or adoptive mother)",kin
inan-aman,parents,kin
jerasaun,,kin
kaben,"husband,wife,legally married spouse",kin
kama rua,mistress (in addition to a man's wife),kin
katuas-oan,"husband,partner",kin
kunyada,sister-in-law,kin
kunyadu,brother-in-law (of a woman),kin
laen,"husband,partner",kin
madrasta,stepmother,kin
main,"mum,mummy",kin
maluk,"relative,relation,kin; friend,companion,mate; fellow (maluk sarani ‘fellow Christian’)",kin
mana,"n title. older sister,older female parallel cousin; title for woman older or similar age to oneself,some also use it for women younger",kin
mane foun,son-in-law,kin
manu2,"n title. older brother; term of address for man older than oneself. Some use 'manu' within the family,and 'mana' outside",kin
maun,"n title. older brother,older male cousin,older child of anyone whom one calls 'mother/father'; title for man older or similar age to oneself",kin
maun boot,"oldest brother,oldest person classified as maun",kin
maun rasik,older brother (as opposed to cousins or others who are also called maun),kin
maun-alin,"brothers and sisters,siblings",kin
naan2,brother (of a female),kin
namoradu/a,boyfriend/girldfriend; fiancé/fiancée,kin
noiva,"bride,fiancée",kin
noivu,"bridegroom,groom; fiancé",kin
oan,"child (son,daughter),offspring; nephew,niece",kin
oan boot,oldest child,kin
oan feto,"daughter,niece",kin
oan hakiak,adopted child,kin
oan ikun,youngest child,kin
oan mane,"son,nephew",kin
oan rasik,"own child (not adopted,or nephew or niece)",kin
padrastu,stepfather,kin
pai,"n title. dad,daddy",kin
papá,n title. dad,kin
parenti,"relative,relation (kin)",kin
prima,n title. female cousin; term of address for a woman who may be younger or older than oneself,kin
prima irmán,relationship between female parallel cousins (daughters of two sisters),kin
primu,n title. male cousin; term of address for a man who may be younger or older than oneself,kin
primu irmaun,relationship between male parallel cousins (sons of two brothers),kin
rian,brother-in-law of a man (wife's brother or sister's husband),kin
subrinya,niece,kin
subrinyu,nephew,kin
tia1,"aunt; title of respect for an older woman,esp. one who doesn't work in an office",kin
tia boot,aunt older than the parent through whom she is related,kin
tia iku,youngest aunt within the family,kin
tia kiik,aunt younger than the parent through whom she is related,kin
tian,aunt (if preceded by a possessor: e.g. Carlos nia tian 'Carlos' aunt'),kin
titi,n title. auntie,kin
tiu,"n ; title. uncle; title of respect for an older man,esp. one who doesn't work in an office",kin
tiu boot,uncle older than the parent through whom he is related,kin
tiu iku,youngest uncle within a family,kin
tiu kiik,uncle younger than the parent through whom he is related,kin
tiun,uncle... (if preceded by a possessor: e.g. Maria nia tiun 'Maria's uncle'),kin
tuananga,opposite-sex cross-cousin (a man and his mother's brother's daughter),kin
uma kain,household based around a nuclear family,kin
umane,"wife-giving clan,wife's family (a man's family call his wife's family umane)",kin
vizavoo,ancestor (great-grandparents up),kin
foo kaben,marry (a couple); mate (animals); fertilise (plants),"kinship - processes,agriculture - process,animals - processes"
divorsiadu/a,(legally) divorced,kinship - processes
hola,"get,fetch; buy; marry,have sexual intercourse with",kinship - processes
namora,"v-ho. court,go out with (boyfriend/girlfriend)",kinship - processes
Inglés,English,"languages,education - subject"
Malaiu,Malay,"languages,education - subject"
Portugés/Portugeza,adj np. Portuguese,"languages,education - subject"
bahasa,Indonesian language,languages
bahasa Indonésia,Indonesian (language),languages
Fransés/Franseza,French,languages
Japonés/Japoneza,Japanese,languages
Latín,Latin,languages
lian ofisiál,official language,languages
Olandés/Olandeza,Dutch,languages
Tailandés/Tailandéza,Thai,languages
Tetun Dili,Tetun Dili (in contrast to Tetun Terik),languages
Tetun Prasa,Tetun Dili (in contrast to Tetun Terik),languages
Tetun Terik,vernacular Tetun,languages
Xinés/Xineza,Chinese,languages
kazu,case; affair,"law - other,health - other"
artigu,"article (esp. of law,linguistics)","law - other,linguistics"
seguransa,"safety,security","law - other,police - other,security - other"
keixa,formal complaint,"law - other,police - other,speaking"
pasa revista,"v-ba. inspect,check","law - other,police - other"
polísia,"police,police force; policeman,policewoman; cop (informal)","law - other,profession,police - people"
regra,rule,"law - other,recreation - other"
akuzasaun,"accusation,charge,indictment","law - other,speaking"
alegasaun,allegation,"law - other,speaking"
juramentu,"oath,vow","law - other,speaking"
lia nain,"traditional elder and judge; person who can speak about traditional matters,can negotiate bride price,can resolve disputes; person who is in charge of a wedding or other feast,and sends people out to invite guests. This person is selected for the task,and must be a good speaker","law - other,tradition"
adil,"fair,just",law - other
audiénsia,audience; hearing,law - other
bandu,"prohibit,forbid,ban",law - other
dadur,"imprison,hold captive,exile",law - other
dame,"peace,reconciliation",law - other
dekretu,decree,law - other
dekretu lei,decree law,law - other
direitu ema nian,human rights,law - other
duun matak,"accuse unfairly,blame unjustly",law - other
estatutu,statute,law - other
evidénsia,evidence,law - other
foo kastigu,"punish,sentence",law - other
ilegál,"illegal,unlawful",law - other
inkéritu,inquiry,law - other
inosenti,innocent,law - other
judisiál,judicial,law - other
juis/juiza,judge (in court),law - other
julgamentu,"trial,judgement",law - other
justu,"just,fair",law - other
kadeia,"jail,prison",law - other
kastigu,"punishment,penalty",law - other
kódigu,code,law - other
komarka,"jail,prison",law - other
komete,commit (a crime),law - other
kondena,"condemn,sentence,convict",law - other
konstituisaun,constitution (law),law - other
konstitusionál,constitutional,law - other
krimi,crime,law - other
kriminozu,n criminal,law - other
legál,"legal,lawful",law - other
lei,law,law - other
lei inan,constitution,law - other
lejizlasaun,legislation,law - other
Ministériu Públiku,Public Prosecutor's Office,law - other
multa,fine (for wrong-doing),law - other
prizaun,"prison,jail",law - other
prizioneiru,prisoner,law - other
Prokuradoria Jerál,Office of the Prosecutor General,law - other
prosedimentu,procedure,law - other
prostituisaun,prostititution,law - other
regula,regulate,law - other
regulamentu,regulation,law - other
rekursu,(legal) appeal,law - other
rezolusaun,resolution,law - other
rezolve,"resolve (a problem),settle (a dispute),sort out",law - other
sasin1,witness (person),law - other
sel,"cell,watchhouse",law - other
sela2,"cell,watchhouse",law - other
testemunya,"witness,referee (for a job application)",law - other
títulu,title,law - other
tribunál,"court (of law),tribunal",law - other
tribunál distritál,district court,law - other
tribunál rekursu,"court of appeal,appeals court",law - other
vigora,be in force (law),law - other
viza,visa,law - other
suspeitu,suspect (person suspected of a crime),"law - people,police - people"
advogadu/a,lawyer,"law - people,profession"
defensór,"defence lawyer,defence counsel","law - people,profession"
prokuradór/a,prosecutor,"law - people,profession"
Prokuradór/a Jerál,"Attorney General,Prosecutor General","law - people,profession"
arguidu,"the accused,defendant",law - people
pontu,"point; stitch,suture; dot; full-stop","linguistics,clothes - other,health - procedures"
ABC,alphabet,linguistics
advérbiu,adverb,linguistics
alfabetu,alphabet,linguistics
apóstrofu,apostrophe,linguistics
arti,"meaning,sense",linguistics
asentu,accent (mark over/under a letter),linguistics
asentu agudu,acute accent (e.g. á),linguistics
asentu grave,grave accent (e.g. à),linguistics
aspas,"quotation marks,inverted commas",linguistics
asuntu,"subject,topic,matter,issue",linguistics
ativu,active,linguistics
bara,(forward) slash ('/'),linguistics
dialetu,dialect; regional language,linguistics
disionáriu,dictionary,linguistics
dois pontus,colon (:),linguistics
femeninu,feminine (grammatical gender),linguistics
fonolojia,phonology,linguistics
fraze,sentence,linguistics
intranzitivu,intransitive (of verb),linguistics
konjugasaun,conjugation,linguistics
konjunsaun,conjunction,linguistics
konsoante,consonant,linguistics
letra,letter (of the alphabet),linguistics
letra boot,"capital letter,upper case letter",linguistics
letra kiik,lower case letter,linguistics
língua,language,linguistics
língua franka,lingua franca,linguistics
linguístika,linguistics,linguistics
maskulinu,masculine (grammatical gender),linguistics
objetu,object,linguistics
ortografia,"spelling,orthography",linguistics
parágrafu,paragraph,linguistics
pasadu,past (time),linguistics
pontu esklamasaun,exclamation mark,linguistics
pontu interogasaun,question mark,linguistics
pontu vírgula,semi-colon (;),linguistics
pozitivu,positive,linguistics
prefiksu,prefix,linguistics
prepozisaun,preposition,linguistics
pronome,pronoun,linguistics
sentidu,"meaning,sense",linguistics
signifikadu,"meaning,sense",linguistics
sílaba,syllable,linguistics
substantivu,noun,linguistics
sufiksu,suffix,linguistics
sujeitu,subject (esp. grammatical subject),linguistics
termu2,term (word),linguistics
tíl,tilde,linguistics
titik dua,colon (:),linguistics
tradutór,translator,linguistics
trasu,hyphen,linguistics
verbu,verb; conjugated verb,linguistics
verbu intranzitivu,intransitive verb,linguistics
verbu tranzitivu,transitive verb,linguistics
vírgula,comma; (decimal) point,linguistics
almosu,lunch,meals
haan kalan,dinner,meals
haan meiudia,lunch,meals
jantár,dinner (evening meal),meals
matabixu,breakfast,meals
merenda,afternoon tea,meals
snek,snack (given to guests at formal meetings),meals
aimoruk,"medicine (traditional and modern),drug (pharmaceutical),including tablets,ointment; vitamins; fertiliser; pesticide,insecticide","medicines,agriculture - other"
aimoruk aat,(non-pharmaceutical) drug,"medicines,recreation - other"
aimoruk susuk,"mosquito repellant,spray,coil",medicines
alku,"alcohol,spirits (for medical purposes)",medicines
antibiótiku,antibiotics,medicines
aspirina,aspirin,medicines
bius,anaesthetic,medicines
doze,"dose,dosage",medicines
droga,(non-pharmaceutical) drug,medicines
insetisida,insecticide,medicines
kininu,quinine,medicines
mina anin,"ointment,medicinal oil rubbed on the body or sniffed,to relieve nasal congestion,headaches etc",medicines
mina manas,ointment,medicines
pil,"contraceptive pill,the pill",medicines
vasina,vaccine,medicines
vitamina,vitamin,medicines
xarope,(medicinal) syrup,medicines
too,"arrive; enough,suffice,be sufficient","motion,quantity"
duni1,"chase,chase away","motion,sport"
nani,"swim; spread,climb (of vine)","motion,sport"
aranka,"v. depart,leave",motion
baa,vt go (away from where the speaker is now),motion
dolar1,crawl,motion
fila,"return,return home; turn",motion
hakbesik,"v-ba. approach,go closer",motion
hakdasa,crawl along with buttocks on the ground,motion
hakiduk,"reverse,go backwards; withdraw",motion
haksoit,"jump,leap,skip",motion
hakur,"cross (esp. a river),go across",motion
halai,"run; run away,flee,escape; drive (of vehicle),sail (of boat)",motion
kadopa,climb a tree by hugging it,motion
lao,"v. walk,go; run (e.g. of meeting,engine); work,function",motion
mai,come (towards where the speaker is now),motion
muda,"move,shift; change",motion
nadodon,"v. crowd forward,move as a large crowd",motion
nakdoko,"shake,rock (of its own accord),swing to and fro",motion
nakduir,"roll,be rolled (of its own accord)",motion
namdoras,"slippery,slick",motion
pasu,step,motion
sae,"rise,ascend,climb; mount,ride (a horse,a bicycle); get into,get on,ride (a vehicle); catch (a bus...); up,upward",motion
sai1,"v. exit,go outside; out",motion
sees,"v. move aside,get out of the way,deviate",motion
semo,fly,motion
soruk,move over a bit (to get out of the way),motion
tama,v-ba. enter; start (work/school); convert to (a religion); into,motion
tesik,"v. across a slope,cut across",motion
tuun,"v. descend,go down,decline,drop; get off,get out of (a vehicle); down,downward",motion
volta,(fila) turn,motion
múzika,music; song,"music,education - subject"
instrumentu,"instrument; implement,tool","music,health - equipment"
rádiu,radio,"music,household"
apitu,(metal/plastic) whistle,"music,sport"
afina,"adjust (a dial),tune (car,a musical instrument)","music,tools - processes"
stik,"drumstick,baton","music,weapons"
AM,AM (radio),music
babadook,traditional drum carried by women,music
banda múzika,(music) band,music
ben,(musical) band,music
CD,"CD,compact disk",music
DVD,DVD,music
estúdiu,studio,music
flauta,"flute,recorder",music
FM,FM (radio),music
gaita,mouthorgan,music
jáz,jazz (music),music
kantór,singer,music
kaseti,"cassette,tape",music
konjuntu,(music) band,music
konsertu,concert,music
korneta,trumpet-like horn,music
koru,choir,music
mikro,microphone,music
mikrofoni,microphone,music
organ,organ (musical instrument),music
palku,"stage (for performance,speeches),platform",music
pianu,"piano,keyboard",music
pop,pop (music),music
rabeka,violin,music
ref,"refrain,chorus",music
refraun,"refrain,chorus",music
reggae,reggae,music
rock,rock (music),music
tambór,drum (musical),music
toka,"play music (e.g. piano,guitar),strum; play in a band",music
toka door,musician,music
viola1,guitar,music
viola talin,guitar string,music
violinu,violin,music
Amérika,np. America; American,"nations,continents"
Austrália,np. Australia; Australian,"nations,continents"
Judeu,np. Jew; Jewish,"nations,religion - other"
Áfrika Súl,np. South Africa,nations
Alemanya,np. Germany; German,nations
Angola,Angola,nations
Arábia,np. Arabia,nations
Arjentina,Argentina,nations
Áustria,np. Austria; Austrian,nations
Ázia,np. Asia; Asian,nations
Birma,np. Burma; Burmese,nations
Birmánia,np. Burma; Burmese,nations
Brazíl,np. Brazil; Brazilian,nations
Brazileiru/a,Brazilian,nations
Bulgária,Bulgaria; Bulgarian,nations
Ebraiku,Hebrew (language),nations
Ebreu,Hebrew,nations
Ejitu,np. Egypt; Egyptian,nations
Espanya,np. Spanish,nations
Espanyól,Spanish,nations
Estadus Unidus,"np. the United States (of America),US",nations
EUA,np. USA,nations
Europa,np. Europe; European,nations
Filipina,np. the Philippines,nations
Filipinas,np. the Philippines,nations
Fransa,np. France; French,nations
Giné-Bisau,np. Guinea-Bissau,nations
Gregu,Greek,nations
Grésia,Greece,nations
Hong Kong,np. Hong Kong,nations
Índia,np. India; Indian,nations
Indonézia,np. Indonesia; Indonesian,nations
Inglatera,np. England,nations
Irak,np. Iraq; Iraqi,nations
Iraki,np. Iraq; Iraqi,nations
Iran,Iran; Iranian,nations
Iraun,np. Iran; Iranian,nations
Irlándia,np. Ireland; Irish,nations
Itália,np. Italy; Italian,nations
Izraél,np. Israel; Israeli,nations
Japaun,np. Japan; Japanese,nations
Jerman,np. Germany; German,nations
Kamboja,"np. Cambodia,Kampuchea; Cambodian,Kampuchean",nations
Kanadá,np. Canada; Canadian,nations
Koreia,np. Korea; Korean,nations
Koreia Norte,np. North Korea; North Korean,nations
Koreia Súl,np. South Korea; South Korean,nations
Kuba,np. Cuba; Cuban,nations
Luzófonu,"Lusophone,Portuguese-speaking",nations
Makau,np. Macao,nations
Malázia,np. Malaysia; Malaysian,nations
Méksiko,Mexico; Mexican,nations
Melanézia,Melanesia; Melanesian,nations
Mesir,np. Egypt; Egyptian,nations
Méxiku,np. Mexico; Mexican,nations
Mosambiki,np. Mozambique,nations
Noruega,Norway; Norwegian,nations
Nova Zelándia,np. New Zealand,nations
Olanda,"np. the Netherlands,Holland; Dutch",nations
Perancis,np. France; French,nations
Portugál,np. Portugal; Portuguese,nations
RDTL,Democratic Republic of East Timor,nations
Reinu Unidu,"the United Kingdom,UK",nations
Repúblika Demokrátika de Timor Leste,Democratic Republic of East Timor,nations
Rúsia,np. Russia; Russian,nations
Singapura,np. Singapore; Singaporean,nations
Suisa,np. Switzerland; Swiss,nations
Tailándia,np. Thailand; Thai,nations
Timor,np. Timor (esp. East Timor); Timorese,nations
Timor Leste,np. East Timor; East Timorese,nations
Timor Lorosae,np. East Timor; East Timorese,nations
TL,East Timor,nations
Turkia,Turkey; Turkish,nations
Uniaun Europeia,European Union,nations
Uniaun Soviétika,Soviet Union,nations
Vietnám,np. Vietnam; Vietnamese,nations
Xina,np. China; Chinese,nations
Yunani,"Greece,Greek",nations
fitun,star,"nature - other,army - other"
rai1,"earth,land,region,country; soil,dirt; floor","nature - other,building materials and equipment"
rai henek,sand,"nature - other,building materials and equipment"
rai henek mota,river sand,"nature - other,building materials and equipment"
rai henek tasi,beach sand,"nature - other,building materials and equipment"
gruta,grotto (cave with a shrine of Our Lady),"nature - other,religion - other"
lalehan,"sky,heaven","nature - other,religion - other"
fulan,,"nature - other,time"
bee,water,"nature - other,water and sanitation"
bee lihun,"pool (of water),deep puddle,standing water,billabong","nature - other,water and sanitation"
bee matan,"spring (of water),any place used as a regular source for drinking water","nature - other,water and sanitation"
bee moris,spring (of water),"nature - other,water and sanitation"
debu,"wallow (muddy area in which buffalo or pigs wallow); pond,pool","nature - other,water and sanitation"
kolan,pond,"nature - other,water and sanitation"
mota,river,"nature - other,water and sanitation"
mota ain,river mouth,"nature - other,water and sanitation"
mota ibun,river bank,"nature - other,water and sanitation"
mota ninin,river bank,"nature - other,water and sanitation"
mota ulun,"head of river,source of river","nature - other,water and sanitation"
loro1,"sun; sunlight,the sun's rays","nature - other,weather and climate"
mahobeen,dew,"nature - other,weather and climate"
ahi,"fire,electricity,light",nature - other
ahu ruin,(hard) coral,nature - other
britas,pebble,nature - other
dezastre naturál,natural disaster,nature - other
fatuk,"stone,rock",nature - other
fatuk kuak,"cave,cavern",nature - other
fatuk lolon,"rockface,short rocky cliff",nature - other
foho,,nature - other
foho huun,"foot,base of mountain",nature - other
foho leten,"mountaintop,hilltop",nature - other
foho lolon,"hillside,mountainside",nature - other
foho tutun,summit,nature - other
fulan mate,lunar eclipse,nature - other
fulan nurak,new moon,nature - other
ilya,island,nature - other
korenti,current,nature - other
lalatak,shadow; reflection,nature - other
laletek,small area of flattish high ground,nature - other
laloran,wave (of sea...),nature - other
loro leten,sky (esp. the height at which birds and planes fly),nature - other
loro matan,sun,nature - other
loro matan monu,sv. sunset,nature - other
loro matan sae,sv. sunrise,nature - other
loro mate,sv. solar eclipse,nature - other
loro monu,sv. sunset,nature - other
loro sae,sv. sunrise,nature - other
mahon,"shade; oversight,protection",nature - other
mota boot,"clause. river runs high,river floods",nature - other
mota tuun,clause. river flows after rain,nature - other
mundu,"world,the earth",nature - other
planeta,planet,nature - other
posu,"well (for water,oil,gas...)",nature - other
pulau,island,nature - other
rai fuik,wilderness,nature - other
rai fuik maran,desert,nature - other
rai huun,"foot,base of mountain",nature - other
rai kuak,hole in the ground,nature - other
rai lolon,"slope,rise (shallowly-sloping hillside)",nature - other
rai mean,"clay; red dirt,red soil",nature - other
rai monu,sv. landslide,nature - other
rai nakdoko,sv. earthquake,nature - other
rai naruk,"cliff,precipice,steep slope",nature - other
rai okos,underground,nature - other
rai rahun,dust,nature - other
salju,snow,nature - other
suar,"smoke,exhaust,steam",nature - other
tahu,mud,nature - other
tasi,"sea,ocean",nature - other
tasi been,seawater,nature - other
tasi boot,sv. rough seas,nature - other
tasi ibun,"coast,shore,seashore,beach",nature - other
tasi maran,low tide,nature - other
tasi nakonu,high tide,nature - other
tasi sae,"tide comes in,tide rises,rising tide",nature - other
tasi siak,"stormy seas,very rough seas",nature - other
tetuk,"level,flat (of land)",nature - other
tsunami,tsunami,nature - other
tinta,"ink,paint,dye","office equipment,building materials and equipment"
kwitansi,receipt (slip),"office equipment,economics"
afiadór,pencil sharpener,office equipment
agrafadór,stapler,office equipment
agrafadór nia isin,staple,office equipment
ajenda,diary (for planning future events); agenda,office equipment
apagadór,"eraser,rubber,(blackboard) duster",office equipment
arkivu,"folder (of papers),archive",office equipment
arsip,file (of papers),office equipment
boraixa,rubber (the substance); rubber band,office equipment
CV,"CV,curriculum vitae",office equipment
dadus,"data,information",office equipment
envelope,envelope,office equipment
eskritóriu,desk,office equipment
fita kola,"sticky tape,scotch tape",office equipment
foer fatin,"scrap heap,dump,rubbish dump,garbage dump,tip; rubbish bin",office equipment
formuláriu,form (paper with prompts filled in),office equipment
fotokopi,photocopy,office equipment
gabinete,office of a senior boss,office equipment
goma,glue,office equipment
hekter,stapler,office equipment
isolasi,sticky tape,office equipment
kalendáriu,calendar,office equipment
kalkuladór,calculator,office equipment
kalkulator,calculator,office equipment
kaneta,fountain pen,office equipment
karimbu,rubber stamp (tool for making a stamp); stamp (the pattern made by the tool),office equipment
kartaun,card,office equipment
kola,glue,office equipment
komputadór,computer,office equipment
kuadru,"blackboard,whiteboard,noticeboard",office equipment
kuríkulum vitae,"CV,curriculum vitae",office equipment
lapis,pencil,office equipment
lapizeira,"pen,biro,ballpoint pen",office equipment
lapizeira been,ink (in a pen),office equipment
laptop,laptop,office equipment
lem,glue,office equipment
livru,book,office equipment
mákina fotokopi,photocopier,office equipment
manuál1,"manual,handbook",office equipment
map,"folder,manilla folder",office equipment
mapa,map,office equipment
mesin ketik,typewriter,office equipment
oráriu,"schedule,timetable",office equipment
pasta1,"small backpack,bag,briefcase,pack",office equipment
poster,poster,office equipment
régua,(measuring) ruler,office equipment
sekretaria,secretary's office,office equipment
selus,(postage) stamp,office equipment
spidól,"permanent marker,whiteboard marker",office equipment
stiker,sticker,office equipment
surat,"letter (correspondence),document; playing card",office equipment
surat tahan,"(sheet of) paper,paper",office equipment
tipeks,"liquid paper,whiteout",office equipment
afia,sharpen (a pencil),office processes
agrafa,staple,office processes
apaga,"erase,rub out",office processes
habit,"squeeze (between two stick-like objects),clip; splint; peg",office processes
hamoos,"clean,erase,rub out; peel; remove (weeds)",office processes
ketík,type (on a typewriter or computer),office processes
tarak,"npos. thorn,spine","plant parts,animals - parts"
ai been,"sap,gum","plant parts,building materials and equipment"
natais,"black fibrous part of top of tua palm,that looks like it is woven","plant parts,building materials and equipment"
tua tais,"black fibrous part of top of tua palm,that looks like it is woven","plant parts,building materials and equipment"
ai fuan,fruit,"plant parts,food"
abut,"root (of plant,tooth,hair,problem)",plant parts
ai dikin,"sprout,shoot,tip of plant including young leaves",plant parts
ai funan1,flower,plant parts
ai kulit,bark (of tree),plant parts
ai lolon,tree trunk,plant parts
ai sanak,"branch (of tree),bough,stick,twig",plant parts
ai tahan,leaf,plant parts
batar fulin,"corn cob,cob of corn",plant parts
batar kulit,corn husk (used for rolling cigarettes),plant parts
batar musan,corn seed,plant parts
delun1,sprout,plant parts
fulin,cob (of corn); head (of rice); fruit (of banana),plant parts
funan,flower,plant parts
isin,"body,flesh; nucleus,contents; tuber,bulb",plant parts
kain,"stem,stalk,(plant) cutting; (long) handle",plant parts
kakuun,hard inner shell of coconut,plant parts
lolon,"trunk (of tree),stem (of flower)",plant parts
musan,"npos. seed (as part of a plant),grain,pip",plant parts
nuu kulit,coconut husk (the woody outer covering),plant parts
