bote  ,"n. woven basket carried on the back by a strap, often around the forehead. ","Category: agriculture - equipment, household."
loro been  ,"rash, heat rash. ",Category: health - signs and symptoms.
manu maten  ,n. 1 • epilepsy. ,Category: health - signs and symptoms.
matan aat  ,body. blind (totally unable to see). ,Category: health - signs and symptoms.
matan delek  ,body. blind (permanently unable to see from that eye). ,Category: health - signs and symptoms.
matan kleuk  ,body. cross-eyed. ,Category: health - signs and symptoms.
matan malahuk  ,"body. have blurred vision, poor vision. ",Category: health - signs and symptoms.
matan mean  ,"body. inflamed red eyes, conjunctivitis, red eye. ",Category: health - signs and symptoms.
matek  ,"adj. numb, have pins and needles; have cramp; paralysed. ",Category: health - signs and symptoms.
mear  ,v. cough. ,Category: health - signs and symptoms.
mear busa  ,n. whooping cough. ,Category: health - signs and symptoms.
mear tasak  ,,Category: health - signs and symptoms.
mii moras  ,body. bursting to go to the toilet (to urinate). ,Category: health - signs and symptoms.
monok  ,"adj. 1 • dumb (unable to speak), mute. ",Category: health - signs and symptoms.
moras  ,"1 • vi. sick, ill, sore, hurt. ",Category: health - signs and symptoms.
moras atan  ,n. sickly (frequently ill). ,Category: health - signs and symptoms.
nakdedar  ,"vi. shiver (from cold, not fever); tremble. ",Category: health - signs and symptoms.
naksalak  ,"vi. sprained, dislocated or twisted (joint). ",Category: health - signs and symptoms.
nanaal badak  ,body. speech impediment. ,Category: health - signs and symptoms.
nehan kuak  ,body. (tooth) cavity. ,Category: health - signs and symptoms.
nehan molik  ,body. toothless. ,Category: health - signs and symptoms.
nehan monu  ,body. tooth fell out. ,Category: health - signs and symptoms.
nehan moris  ,body. teething; have a new tooth. ,Category: health - signs and symptoms.
nehan tohar  ,body. tooth breaks. ,Category: health - signs and symptoms.
nehan tohik  ,body. tooth chips. ,Category: health - signs and symptoms.
nehan tubun  ,body. teething; have a new tooth. ,Category: health - signs and symptoms.
nehan ular  ,body. tooth decay. ,Category: health - signs and symptoms.
oin halai  ,"body. dizzy, giddy. ",Category: health - signs and symptoms.
oin kamutis  ,"body. pale, wan (due to sickness, fatigue). ",Category: health - signs and symptoms.
oin moos  ,"body. 1 • sober, fully conscious. ",Category: health - signs and symptoms.
oin nakukun  ,"body. feel faint, see stars; faint, pass out, be semi-conscious (e.g. due to hunger, or standing still in the sun for a long time). ",Category: health - signs and symptoms.
pontu  ,adj. a bit crazy. ,Category: health - signs and symptoms.
pús  ,n. pus. ,Category: health - signs and symptoms.
raan la iha  ,body. anaemic. ,Category: health - signs and symptoms.
raan menus  ,body. anaemic. ,Category: health - signs and symptoms.
rai nain nia oan  ,n. albino. ,Category: health - signs and symptoms.
ruin maran  ,"body. extremely skinny, skin and bones. ",Category: health - signs and symptoms.
ruin siin  ,body. arthritis. ,Category: health - signs and symptoms.
ruin toos  ,body. stiff (from age). ,Category: health - signs and symptoms.
sasuku  ,sharp pains. ,Category: health - signs and symptoms.
tee been  ,1 • n. diarrhoea. ,Category: health - signs and symptoms.
tee toos  ,"body. constipated, constipation. ",Category: health - signs and symptoms.
tensaun  ,n. 1 • blood pressure. ,Category: health - signs and symptoms.
tensaun alta  ,"n. high blood pressure, hypertension. ",Category: health - signs and symptoms.
tensaun sae  ,"body. high blood pressure, hypertension; blood pressure rises. ",Category: health - signs and symptoms.
tensaun tuun  ,"body. low blood pressure, hypotension; blood pressure falls. ",Category: health - signs and symptoms.
tilun diuk  ,body. deaf. ,Category: health - signs and symptoms.
tilun kuak moras  ,body. have an earache. ,Category: health - signs and symptoms.
todan  ,"1 • adj. heavy (weight); hard (work), difficult; serious, grave, critical (illness...); severe (punishment...) ",Category: health - signs and symptoms.
tohar  ,"adj. broken, fractured. ",Category: health - signs and symptoms.
trauma  ,1 • vi. traumatised. ,Category: health - signs and symptoms.
ulun fatuk moras  ,body. 1 • have a headache. ,Category: health - signs and symptoms.
ulun moras  ,body. have a headache. ,Category: health - signs and symptoms.
hadak  ,n. platform (for seating or sleeping) or floor made of traditional materials. ,"Category: household, building parts."
relójiu  ,"n. watch, wristwatch, clock. ","Category: household, clothes."
basia  ,"n. basin, large bowl. ","Category: household, cooking equipment, health - equipment."
redi  ,"n. net, netting; network (of people, phone network). ","Category: household, fishing - other."
pomada  ,"n. ointment, salve. ","Category: household, medicines."
tezoura  ,"n. scissors, shears. ","Category: household, office equipment, agriculture - equipment, tools - types, health - equipment."
almari  ,"n. cupboard, wardrobe, bookcase, cabinet. ","Category: household, office equipment."
almari livru  ,n. bookcase. ,"Category: household, office equipment."
armáriu  ,"n. cupboard, wardrobe, bookcase, cabinet. ","Category: household, office equipment."
fita  ,"n. ribbon, tape. ","Category: household, office equipment."
gaveta  ,n. drawer. ,"Category: household, office equipment."
kadeira  ,"n. chair; seat (in parliament), position of responsibility. ","Category: household, office equipment."
kadernu  ,n. notebook; exercise book. ,"Category: household, office equipment."
meza  ,n. 1 • table; desk. ,"Category: household, office equipment."
telefone  ,"1 • n. telephone, phone. ","Category: household, office equipment."
espelyu  ,n. mirror. ,"Category: household, vehicles - parts."
lalenok  ,n. mirror. ,"Category: household, vehicles - parts."
baldi  ,"n. bucket, pail. ","Category: household, water and sanitation."
jérigen  ,n. jerrycan. ,"Category: household, water and sanitation."
kanaba  ,n. bucket or basket for drawing water from a well. ,"Category: household, water and sanitation."
kanu  ,n. (water) pipe. ,"Category: household, water and sanitation."
mangeira  ,n. hose. ,"Category: household, water and sanitation."
torneira  ,"n. tap (BRIT), faucet (US). ","Category: household, water and sanitation."
ai habit  ,n. (clothes) peg. ,Category: household.
ai saar  ,n. broom. ,Category: household.
ai saar kesak  ,"n. broom made of palm leaf midribs, used for sweeping outside. ",Category: household.
almari ropa  ,n. wardrobe. ,Category: household.
ampolas  ,n. light bulb. ,Category: household.
banku1  ,"n. bench, stool. ",Category: household.
Bayclin  ,n. bleach. ,Category: household.
Baygon  ,n. mosquito spray; mosquito coil. ,Category: household.
beladór  ,n. coffee table. ,Category: household.
biti  ,n. mat. ,Category: household.
botir  ,n. bottle (especially one not made of plastic). ,Category: household.
eskova  ,n. brush. ,Category: household.
eskova kose nehan  ,n. toothbrush. ,Category: household.
eskova nehan  ,n. toothbrush. ,Category: household.
esponza  ,"n. foam rubber, sponge. ",Category: household.
estrika  ,1 • n. iron (for ironing clothes). ,Category: household.
fronyas  ,n. pillowcase. ,Category: household.
galon  ,n. large bottle of bottled water that fits in a dispenser. ,Category: household.
gayung  ,n. water dipper (used in bathing). ,Category: household.
generator  ,n. generator. ,Category: household.
guardafatu  ,n. wardrobe. ,Category: household.
hena bikan  ,"n. tea towel, dishcloth. ",Category: household.
hena meza  ,n. tablecloth. ,Category: household.
iskeiru  ,n. cigarette lighter. ,Category: household.
kabas rahun  ,n. 1 • cotton wool. ,Category: household.
kaer fatin  ,n. handle. ,Category: household.
kama  ,n. bed. ,Category: household.
kandieiru  ,n. small wick lamp. ,Category: household.
karteira  ,"n. wallet, purse, handbag. ",Category: household.
kaut  ,n. lidless woven storage container. ,Category: household.
kolxa  ,n. bottom (bed) sheet. ,Category: household.
kortina  ,n. curtain. ,Category: household.
kortuinya  ,n. nail clipper. ,Category: household.
kulxaun  ,n. mattress. ,Category: household.
lámpada  ,"n. torch, flashlight. ",Category: household.
lampu ampolas  ,n. light    bulb. ,Category: household.
lampu kabuar  ,n. light    bulb. ,Category: household.
lampu neon  ,"n. fluoro (light), fluorescent light. ",Category: household.
lensól  ,n. (bed) sheet. ,Category: household.
lilin  ,n. candle. ,Category: household.
luhu  ,n. storage basket. ,Category: household.
mákina fasi ropa  ,n. washing  machine. ,Category: household.
mala  ,n. 1 • suitcase. ,Category: household.
manta  ,n. blanket. ,Category: household.
neon2  ,"n. fluoro (light), fluorescent light. ",Category: household.
oliadu  ,"n. lineoleum, lino; plastic tablecloth, oilcloth. ",Category: household.
Omo  ,n. washing powder (for clothes). ,Category: household.
pasta denti  ,n. toothpaste. ,Category: household.
pasta tau kotuk  ,n. backpack. ,Category: household.
paulitu  ,n. toothpick. ,Category: household.
petromás  ,n. kerosene lamp. ,Category: household.
pilya  ,n. battery (not rechargeable). ,Category: household.
pioneze  ,"n. thumbtack, drawing pin. ",Category: household.
piveti  ,n. mosquito coil. ,Category: household.
pó  ,"n. powder, baby powder. ",Category: household.
raga  ,"n. basket, rack. ",Category: household.
Rinso  ,n. washing powder (for clothes). ,Category: household.
rolu  ,"n. roll, coil; (paint) roller, hair curler. ",Category: household.
sabaun  ,n. soap. ,Category: household.
saboneti  ,n. soap (for bathing). ,Category: household.
sasaan eletróniku  ,n. electronics. ,Category: household.
sasuit2  ,n. comb; hairbrush. ,Category: household.
sinzeiru  ,n. ashtray. ,Category: household.
sofá  ,"n. sofa, armchair. ",Category: household.
sumasu  ,"n. pillow, cushion. ",Category: household.
sumasu naruk  ,n. Dutch wife (long round pillow). ,Category: household.
tapeti  ,"n. carpet, rug. ",Category: household.
televizaun  ,"n. television, TV, TV set. ",Category: household.
tixu  ,"n. tissue, serviette, toilet paper. ",Category: household.
toalya  ,n. towel; handtowel. ,Category: household.
toalya meza  ,n. tablecloth. ,Category: household.
vazu  ,"n. flowerpot, pot (for plants); vase. ",Category: household.
ventuinya  ,n. (electric) fan. ,Category: household.
vídeo  ,n. video. ,Category: household.
xampó  ,n. shampoo. ,Category: household.
xupeta  ,n. 1 • (baby's) dummy (BRIT); pacifier (US). ,Category: household.
oan kaduak  ,n. twins. ,"Category: kin, health - other."
ferik  ,"n ; title. old woman, married woman. Can be used to refer to an older woman, including one's mother or wife. ","Category: kin, stages of life."
katuas  ,"n title. older man; married man. Can be used to refer to an older man, including one's father or husband. ","Category: kin, stages of life."
alin  ,n title. younger brother or sister; younger child of anyone whom one calls 'mother/father'; title for a younger person. ,Category: kin.
alin feto  ,n. younger sister; younger daughter of anyone classified as one's inan or aman. ,Category: kin.
alin ikun  ,n. youngest brother or sister. ,Category: kin.
alin mane  ,n. younger brother; younger son of anyone classified as one's inan or aman. ,Category: kin.
alin rasik  ,n. younger brother or sister (as opposed to cousins or others who are also called alin). ,Category: kin.
amaa  ,"n. mum, mummy. ",Category: kin.
aman1  ,"n. father; paternal uncle, father's brothers, man one generation up who is related completely through the male line. ",Category: kin.
aman boot  ,"n. older paternal uncle, father's older brother. ",Category: kin.
aman hakiak  ,n. adoptive father; foster father; host father. ,Category: kin.
aman kiik  ,"n. younger paternal uncle, father's younger brother. ",Category: kin.
aman rasik  ,"n. birth father (as opposed to paternal uncles, or adoptive father). ",Category: kin.
apaa  ,"n. dad, daddy; in some areas used as a respectful term of address to men. ",Category: kin.
avoo  ,n. grandparent; title for a person who is much older than oneself. ,Category: kin.
avoo feto  ,n. grandmother. ,Category: kin.
avoo main  ,n. grandma. ,Category: kin.
avoo mane  ,n. grandfather. ,Category: kin.
avoo pai  ,n. grandpa. ,Category: kin.
banin  ,n. parent-in-law. ,Category: kin.
banin feto  ,n. mother-in-law. ,Category: kin.
banin mane  ,n. father-in-law. ,Category: kin.
bei-ala  ,n. ancestor (great-grandparent and any generation before that). ,Category: kin.
bei-oan  ,"n. grandchild, grandson, granddaughter. ",Category: kin.
biin  ,"n. older sister, older female cousin, older child of anyone whom one calls 'mother/father'. ",Category: kin.
biin rasik  ,n. older sister (as opposed to cousins or others who are also called biin). ,Category: kin.
ema leet  ,n. non-relative. ,Category: kin.
família  ,"n. family, relatives, relations. ",Category: kin.
família boot  ,n. extended family. ,Category: kin.
feen  ,"n. wife, partner. ",Category: kin.
feen kiik  ,"n. mistress, concubine, second wife. ",Category: kin.
feen-laen  ,"n. husband and wife, married couple. ",Category: kin.
ferik-oan  ,"n. wife, partner. ",Category: kin.
feto foun  ,n. daughter-in-law. ,Category: kin.
feton  ,n. sister (of a male). ,Category: kin.
fetosaa  ,"n. wife-taking clan, husband's family. ",Category: kin.
inan1  ,n. mother; mother's sister; woman one generation up who is related completely through the female line. ,Category: kin.
inan boot  ,"n. older maternal aunt, mother's older sister. ",Category: kin.
inan hakiak  ,"n. adoptive mother, foster mother, host mother. ",Category: kin.
inan kiik  ,n. younger maternal aunt; mother's younger sister; father's second wife. ,Category: kin.
inan rasik  ,"n. birth mother (as opposed to maternal aunts, or adoptive mother). ",Category: kin.
inan-aman  ,n. parents. ,Category: kin.
jerasaun  ,n.  ,Category: kin.
kaben  ,"n. husband, wife, legally married spouse. ",Category: kin.
kama rua  ,n. mistress (in addition to a man's wife). ,Category: kin.
katuas-oan  ,"n. husband, partner. ",Category: kin.
kunyada  ,n. sister-in-law. ,Category: kin.
kunyadu  ,n. brother-in-law (of a woman). ,Category: kin.
laen  ,"n. husband, partner. ",Category: kin.
madrasta  ,n. stepmother. ,Category: kin.
main  ,"n. mum, mummy. ",Category: kin.
maluk  ,"1 • n. relative, relation, kin; friend, companion, mate; fellow (maluk sarani ‘fellow Christian’). ",Category: kin.
mana  ,"n title. older sister, older female parallel cousin; title for woman older or similar age to oneself, some also use it for women younger. ",Category: kin.
mane foun  ,n. son-in-law. ,Category: kin.
manu2  ,"n title. older brother; term of address for man older than oneself. Some use 'manu' within the family, and 'mana' outside. ",Category: kin.
maun  ,"n title. older brother, older male cousin, older child of anyone whom one calls 'mother/father'; title for man older or similar age to oneself. ",Category: kin.
maun boot  ,"n. oldest brother, oldest person classified as maun. ",Category: kin.
maun rasik  ,n. older brother (as opposed to cousins or others who are also called maun). ,Category: kin.
maun-alin  ,"n. brothers and sisters, siblings. ",Category: kin.
naan2  ,n. brother (of a female). ,Category: kin.
namoradu/a  ,n. boyfriend/girldfriend; fiancé/fiancée. ,Category: kin.
noiva  ,"n. bride, fiancée. ",Category: kin.
noivu  ,"n. bridegroom, groom; fiancé. ",Category: kin.
oan  ,"1 • n. child (son, daughter), offspring; nephew, niece. ",Category: kin.
oan boot  ,n. oldest child. ,Category: kin.
oan feto  ,"n. daughter, niece. ",Category: kin.
oan hakiak  ,n. adopted child. ,Category: kin.
oan ikun  ,n. youngest child. ,Category: kin.
oan mane  ,"n. son, nephew. ",Category: kin.
oan rasik  ,"n. own child (not adopted, or nephew or niece). ",Category: kin.
padrastu  ,n. stepfather. ,Category: kin.
pai  ,"n title. dad, daddy. ",Category: kin.
papá  ,n title. dad. ,Category: kin.
parenti  ,"n. relative, relation (kin). ",Category: kin.
prima  ,n title. female cousin; term of address for a woman who may be younger or older than oneself. ,Category: kin.
prima irmán  ,n. relationship between female parallel cousins (daughters of two sisters). ,Category: kin.
primu  ,n title. male cousin; term of address for a man who may be younger or older than oneself. ,Category: kin.
primu irmaun  ,n. relationship between male parallel cousins (sons of two brothers). ,Category: kin.
rian  ,n. brother-in-law of a man (wife's brother or sister's husband). ,Category: kin.
subrinya  ,n. niece. ,Category: kin.
subrinyu  ,n. nephew. ,Category: kin.
tia1  ,"n. aunt; title of respect for an older woman, esp. one who doesn't work in an office. ",Category: kin.
tia boot  ,n. aunt older than the parent through whom she is related. ,Category: kin.
tia iku  ,n. youngest aunt within the family. ,Category: kin.
tia kiik  ,n. aunt younger than the parent through whom she is related. ,Category: kin.
tian  ,aunt (if preceded by a possessor: e.g. Carlos nia tian 'Carlos' aunt'). ,Category: kin.
titi  ,n title. auntie. ,Category: kin.
tiu  ,"n ; title. uncle; title of respect for an older man, esp. one who doesn't work in an office. ",Category: kin.
tiu boot  ,n. uncle older than the parent through whom he is related. ,Category: kin.
tiu iku  ,n. youngest uncle within a family. ,Category: kin.
tiu kiik  ,n. uncle younger than the parent through whom he is related. ,Category: kin.
tiun  ,n. uncle... (if preceded by a possessor: e.g. Maria nia tiun 'Maria's uncle'). ,Category: kin.
tuananga  ,n. opposite-sex cross-cousin (a man and his mother's brother's daughter). ,Category: kin.
uma kain  ,n. household based around a nuclear family. ,Category: kin.
umane  ,"n. wife-giving clan, wife's family (a man's family call his wife's family umane). ",Category: kin.
vizavoo  ,n. ancestor (great-grandparents up). ,Category: kin.
foo kaben  ,vt. marry (a couple); mate (animals); fertilise (plants). ,"Category: kinship - processes, agriculture - process, animals - processes."
divorsiadu/a  ,adj. (legally) divorced. ,Category: kinship - processes.
hola  ,"vt. get, fetch; buy; marry, have sexual intercourse with. ",Category: kinship - processes.
namora  ,"1 • v-ho. court, go out with (boyfriend/girlfriend). ",Category: kinship - processes.
Inglés  ,adj. English. ,"Category: languages, education - subject."
Malaiu  ,n. Malay. ,"Category: languages, education - subject."
Portugés/Portugeza  ,adj np. Portuguese. ,"Category: languages, education - subject."
bahasa  ,n. Indonesian language. ,Category: languages.
bahasa Indonésia  ,n. Indonesian (language). ,Category: languages.
Fransés/Franseza  ,adj. French. ,Category: languages.
Japonés/Japoneza  ,adj. Japanese. ,Category: languages.
Latín  ,n. Latin. ,Category: languages.
lian ofisiál  ,n. official language. ,Category: languages.
Olandés/Olandeza  ,adj. Dutch. ,Category: languages.
Tailandés/Tailandéza  ,adj. Thai. ,Category: languages.
Tetun Dili  ,n. Tetun Dili (in contrast to Tetun Terik). ,Category: languages.
Tetun Prasa  ,n. Tetun Dili (in contrast to Tetun Terik). ,Category: languages.
Tetun Terik  ,n. vernacular Tetun. ,Category: languages.
Xinés/Xineza  ,adj. Chinese. ,Category: languages.
kazu  ,n. case; affair. ,"Category: law - other, health - other."
artigu  ,"n. article (esp. of law, linguistics). ","Category: law - other, linguistics."
seguransa  ,"n. 1 • safety, security. ","Category: law - other, police - other, security - other."
keixa  ,n. formal complaint. ,"Category: law - other, police - other, speaking."
pasa revista  ,"v-ba. inspect, check. ","Category: law - other, police - other."
polísia  ,"n. police, police force; policeman, policewoman; cop (informal). ","Category: law - other, profession, police - people."
regra  ,n. rule. ,"Category: law - other, recreation - other."
akuzasaun  ,"n. accusation, charge, indictment. ","Category: law - other, speaking."
alegasaun  ,n. allegation. ,"Category: law - other, speaking."
juramentu  ,"n. oath, vow. ","Category: law - other, speaking."
lia nain  ,"n. traditional elder and judge; person who can speak about traditional matters, can negotiate bride price, can resolve disputes; person who is in charge of a wedding or other feast, and sends people out to invite guests. This person is selected for the task, and must be a good speaker. ","Category: law - other, tradition."
adil  ,"adj. fair, just. ",Category: law - other.
audiénsia  ,n. audience; hearing. ,Category: law - other.
bandu  ,"vt. prohibit, forbid, ban. ",Category: law - other.
dadur  ,"1 • vt. imprison, hold captive, exile. ",Category: law - other.
dame  ,"1 • n. peace, reconciliation. ",Category: law - other.
dekretu  ,n. decree. ,Category: law - other.
dekretu lei  ,n. decree law. ,Category: law - other.
direitu ema nian  ,n. human rights. ,Category: law - other.
duun matak  ,"vt. accuse unfairly, blame unjustly. ",Category: law - other.
estatutu  ,n. statute. ,Category: law - other.
evidénsia  ,n. evidence. ,Category: law - other.
foo kastigu  ,"vt. punish, sentence. ",Category: law - other.
ilegál  ,"adj. illegal, unlawful. ",Category: law - other.
inkéritu  ,n. inquiry. ,Category: law - other.
inosenti  ,adj. innocent. ,Category: law - other.
judisiál  ,adj. judicial. ,Category: law - other.
juis/juiza  ,n. judge (in court). ,Category: law - other.
julgamentu  ,"n. trial, judgement. ",Category: law - other.
justu  ,"adj. just, fair. ",Category: law - other.
kadeia  ,"n. jail, prison. ",Category: law - other.
kastigu  ,"1 • n. punishment, penalty. ",Category: law - other.
kódigu  ,n. code. ,Category: law - other.
komarka  ,"n. jail, prison. ",Category: law - other.
komete  ,vt. commit (a crime). ,Category: law - other.
kondena  ,"vt. condemn, sentence, convict. ",Category: law - other.
konstituisaun  ,n. constitution (law). ,Category: law - other.
konstitusionál  ,adj. constitutional. ,Category: law - other.
krimi  ,n. crime. ,Category: law - other.
kriminozu  ,n adj. criminal. ,Category: law - other.
legál  ,"adj. legal, lawful. ",Category: law - other.
lei  ,n. law. ,Category: law - other.
lei inan  ,n. constitution. ,Category: law - other.
lejizlasaun  ,n. legislation. ,Category: law - other.
Ministériu Públiku  ,n. Public Prosecutor's Office. ,Category: law - other.
multa  ,n. fine (for wrong-doing). ,Category: law - other.
prizaun  ,"n. prison, jail. ",Category: law - other.
prizioneiru  ,n. prisoner. ,Category: law - other.
Prokuradoria Jerál  ,n. Office of the Prosecutor General. ,Category: law - other.
prosedimentu  ,n. procedure. ,Category: law - other.
prostituisaun  ,n. prostititution. ,Category: law - other.
regula  ,vt. 1 • regulate. ,Category: law - other.
regulamentu  ,n. regulation. ,Category: law - other.
rekursu  ,n. (legal) appeal. ,Category: law - other.
rezolusaun  ,n. resolution. ,Category: law - other.
rezolve  ,"vt. resolve (a problem), settle (a dispute), sort out. ",Category: law - other.
sasin1  ,n. 1 • witness (person). ,Category: law - other.
sel  ,"n. cell, watchhouse. ",Category: law - other.
sela2  ,"n. cell, watchhouse. ",Category: law - other.
testemunya  ,"n. 1 • witness, referee (for a job application). ",Category: law - other.
títulu  ,n. title. ,Category: law - other.
tribunál  ,"n. court (of law), tribunal. ",Category: law - other.
tribunál distritál  ,n. district court. ,Category: law - other.
tribunál rekursu  ,"n. court of appeal, appeals court. ",Category: law - other.
vigora  ,vi. be in force (law). ,Category: law - other.
viza  ,n. visa. ,Category: law - other.
suspeitu  ,n. suspect (person suspected of a crime). ,"Category: law - people, police - people."
advogadu/a  ,n. lawyer. ,"Category: law - people, profession."
defensór  ,"n. defence lawyer, defence counsel. ","Category: law - people, profession."
prokuradór/a  ,n. prosecutor. ,"Category: law - people, profession."
Prokuradór/a Jerál  ,"n. Attorney General, Prosecutor General. ","Category: law - people, profession."
arguidu  ,"n. the accused, defendant. ",Category: law - people.
pontu  ,"n. point; stitch, suture; dot; full-stop. ","Category: linguistics, clothes - other, health - procedures."
ABC  ,n. alphabet. ,Category: linguistics.
advérbiu  ,n. adverb. ,Category: linguistics.
alfabetu  ,n. alphabet. ,Category: linguistics.
apóstrofu  ,n. apostrophe. ,Category: linguistics.
arti  ,"n. meaning, sense. ",Category: linguistics.
asentu  ,n. accent (mark over/under a letter). ,Category: linguistics.
asentu agudu  ,n. acute accent (e.g. á). ,Category: linguistics.
asentu grave  ,n. grave accent (e.g. à). ,Category: linguistics.
aspas  ,"n. quotation marks, inverted commas. ",Category: linguistics.
asuntu  ,"n. subject, topic, matter, issue. ",Category: linguistics.
ativu  ,adj. active. ,Category: linguistics.
bara  ,n. (forward) slash ('/'). ,Category: linguistics.
dialetu  ,n. dialect; regional language. ,Category: linguistics.
disionáriu  ,n. dictionary. ,Category: linguistics.
dois pontus  ,n. colon (:) ,Category: linguistics.
femeninu  ,adj. feminine (grammatical gender). ,Category: linguistics.
fonolojia  ,n. phonology. ,Category: linguistics.
fraze  ,n. sentence. ,Category: linguistics.
intranzitivu  ,adj. intransitive (of verb). ,Category: linguistics.
konjugasaun  ,n. conjugation. ,Category: linguistics.
konjunsaun  ,n. conjunction. ,Category: linguistics.
konsoante  ,n. consonant. ,Category: linguistics.
letra  ,n. letter (of the alphabet). ,Category: linguistics.
letra boot  ,"n. capital letter, upper case letter. ",Category: linguistics.
letra kiik  ,n. lower case letter. ,Category: linguistics.
língua  ,n. language. ,Category: linguistics.
língua franka  ,n. lingua franca. ,Category: linguistics.
linguístika  ,n. linguistics. ,Category: linguistics.
maskulinu  ,adj. masculine (grammatical gender). ,Category: linguistics.
objetu  ,n. object. ,Category: linguistics.
ortografia  ,"n. spelling, orthography. ",Category: linguistics.
parágrafu  ,n. paragraph. ,Category: linguistics.
pasadu  ,adj. past (time). ,Category: linguistics.
pontu esklamasaun  ,n. exclamation mark. ,Category: linguistics.
pontu interogasaun  ,n. question mark. ,Category: linguistics.
pontu vírgula  ,n. semi-colon (;) ,Category: linguistics.
pozitivu  ,adj. positive. ,Category: linguistics.
prefiksu  ,n. prefix. ,Category: linguistics.
prepozisaun  ,n. preposition. ,Category: linguistics.
pronome  ,n. pronoun. ,Category: linguistics.
sentidu  ,"n. meaning, sense. ",Category: linguistics.
signifikadu  ,"n. meaning, sense. ",Category: linguistics.
sílaba  ,n. syllable. ,Category: linguistics.
substantivu  ,n. noun. ,Category: linguistics.
sufiksu  ,n. suffix. ,Category: linguistics.
sujeitu  ,n. subject (esp. grammatical subject). ,Category: linguistics.
termu2  ,n. term (word). ,Category: linguistics.
tíl  ,n. tilde. ,Category: linguistics.
titik dua  ,n. colon (:) ,Category: linguistics.
tradutór  ,n. translator. ,Category: linguistics.
trasu  ,n. hyphen. ,Category: linguistics.
verbu  ,n. verb; conjugated verb. ,Category: linguistics.
verbu intranzitivu  ,n. intransitive verb. ,Category: linguistics.
verbu tranzitivu  ,n. transitive verb. ,Category: linguistics.
vírgula  ,n. comma; (decimal) point. ,Category: linguistics.
almosu  ,1 • n. lunch. ,Category: meals.
haan kalan  ,dinner. ,Category: meals.
haan meiudia  ,n. lunch. ,Category: meals.
jantár  ,n. dinner (evening meal). ,Category: meals.
matabixu  ,n. breakfast. ,Category: meals.
merenda  ,n. afternoon tea. ,Category: meals.
snek  ,n. snack (given to guests at formal meetings). ,Category: meals.
aimoruk  ,"n. medicine (traditional and modern), drug (pharmaceutical), including tablets, ointment; vitamins; fertiliser; pesticide, insecticide. ","Category: medicines, agriculture - other."
aimoruk aat  ,n. 1 • (non-pharmaceutical) drug. ,"Category: medicines, recreation - other."
aimoruk susuk  ,"n. mosquito repellant, spray, coil. ",Category: medicines.
alku  ,"n. alcohol, spirits (for medical purposes). ",Category: medicines.
antibiótiku  ,n. antibiotics. ,Category: medicines.
aspirina  ,n. aspirin. ,Category: medicines.
bius  ,n. anaesthetic. ,Category: medicines.
doze  ,"n. dose, dosage. ",Category: medicines.
droga  ,n. (non-pharmaceutical) drug. ,Category: medicines.
insetisida  ,n. insecticide. ,Category: medicines.
kininu  ,n. quinine. ,Category: medicines.
mina anin  ,"n. ointment, medicinal oil rubbed on the body or sniffed, to relieve nasal congestion, headaches etc. ",Category: medicines.
mina manas  ,n. ointment. ,Category: medicines.
pil  ,"n. contraceptive pill, the pill. ",Category: medicines.
vasina  ,n. vaccine. ,Category: medicines.
vitamina  ,n. vitamin. ,Category: medicines.
xarope  ,n. (medicinal) syrup. ,Category: medicines.
too  ,"1 • vi. arrive; enough, suffice, be sufficient. ","Category: motion, quantity."
duni1  ,"vt. chase, chase away. ","Category: motion, sport."
nani  ,"vi. swim; spread, climb (of vine). ","Category: motion, sport."
aranka  ,"v. depart, leave. ",Category: motion.
baa  ,vt vi. go (away from where the speaker is now). ,Category: motion.
dolar1  ,vt. crawl. ,Category: motion.
fila  ,"vi. return, return home; turn. ",Category: motion.
hakbesik  ,"v-ba. approach, go closer. ",Category: motion.
hakdasa  ,v. crawl along with buttocks on the ground. ,Category: motion.
hakiduk  ,"1 • vi. reverse, go backwards; withdraw. ",Category: motion.
haksoit  ,"vi. jump, leap, skip. ",Category: motion.
hakur  ,"vt. cross (esp. a river), go across. ",Category: motion.
halai  ,"1 • vi. run; run away, flee, escape; drive (of vehicle), sail (of boat). ",Category: motion.
kadopa  ,vt. climb a tree by hugging it. ,Category: motion.
lao  ,"v. walk, go; run (e.g. of meeting, engine); work, function. ",Category: motion.
mai  ,1 • vt. come (towards where the speaker is now). ,Category: motion.
muda  ,"vt. move, shift; change. ",Category: motion.
nadodon  ,"v. crowd forward, move as a large crowd. ",Category: motion.
nakdoko  ,"vi. shake, rock (of its own accord), swing to and fro. ",Category: motion.
nakduir  ,"vi. roll, be rolled (of its own accord). ",Category: motion.
namdoras  ,"1 • adj. slippery, slick. ",Category: motion.
pasu  ,n. step. ,Category: motion.
sae  ,"vi. rise, ascend, climb; mount, ride (a horse, a bicycle); get into, get on, ride (a vehicle); catch (a bus...); up, upward. ",Category: motion.
sai1  ,"v. exit, go outside; out. ",Category: motion.
sees  ,"v. move aside, get out of the way, deviate. ",Category: motion.
semo  ,vi. fly. ,Category: motion.
soruk  ,v. move over a bit (to get out of the way). ,Category: motion.
tama  ,v-ba. enter; start (work/school); convert to (a religion); into. ,Category: motion.
tesik  ,"v. across a slope, cut across. ",Category: motion.
